LOAN_DATE,LENDER,CITY,STATE,INDUSTRY,WARD
2012-10-20T00:00:00.000,Accion,Chicago,IL,Professional/Off Svc,3
2012-12-04T00:00:00.000,CNI,Chicago,IL,Retail Sales - Other,21
2016-02-16T00:00:00.000,CNI,Chicago,IL,Transportation,7
2014-09-16T00:00:00.000,CNI,Chicago,IL,Construction,8
2014-11-18T00:00:00.000,CNI,Chicago,IL,Service,6
2014-06-18T00:00:00.000,WBDC,Chicago,IL,Professional/Off Svc,31
2013-04-01T00:00:00.000,Accion,Chicago ,IL,Other Services,42
2015-10-09T00:00:00.000,CNI,Chicago,IL,Retail Sales - Other,5
2015-07-15T00:00:00.000,CNI,Chicago,IL,Other Services,27
2013-01-11T00:00:00.000,CNI,Chicago,IL,Transportation,9
2013-11-08T00:00:00.000,WBDC,Chicago,IL,Medical Services,47
2016-01-29T00:00:00.000,Accion,Chicago,IL,Retail Sales - Other,42
2015-02-23T00:00:00.000,CNI,Chicago,IL,Food/Beverage,9
2013-03-29T00:00:00.000,Accion,Chicago,IL,Food/Beverage,17
2014-06-30T00:00:00.000,Accion,Chicago,IL,Retail Stores,25
2012-11-10T00:00:00.000,Accion,Chicago,IL,Food/Beverage,2
2014-01-30T00:00:00.000,Accion,Chicago,IL,Retail Sales - Other,13
2016-02-10T00:00:00.000,CNI,Chicago,IL,Manufacturing,5
2013-03-19T00:00:00.000,Accion,Chicago,IL,Other Services,36
2014-04-25T00:00:00.000,CNI,Chicago,IL,Professional/Off Svc,2
2014-09-15T00:00:00.000,CNI,Chicago,IL,Real Estate Consultant,42
2012-11-10T00:00:00.000,Accion,Chicago,IL,Clothing/Material Production,11
2012-12-10T00:00:00.000,Accion,Chicago,IL,Retail Sales - Other,21
2013-05-09T00:00:00.000,Accion,Chicago,IL,Construction/Repair,13
2012-12-20T00:00:00.000,Accion,Chicago,IL,Arts/Crafts Production,1
2014-05-22T00:00:00.000,Accion,Chicago,IL,Food/Beverage,13
2014-07-02T00:00:00.000,Accion,Chicago,IL,Food/Beverage,38
