WARD,FS AGENCIES,SB FUNDS,MICRO LOANS,ARSON,ASSAULT,BATTERY,BURGLARY,CONCEALED CARRY LICENSE VIOLATION,CRIM SEXUAL ASSAULT,CRIMINAL DAMAGE,CRIMINAL SEXUAL ASSAULT,CRIMINAL TRESPASS,DECEPTIVE PRACTICE,GAMBLING,HOMICIDE,HUMAN TRAFFICKING,INTERFERENCE WITH PUBLIC OFFICER,INTIMIDATION,KIDNAPPING,LIQUOR LAW VIOLATION,MOTOR VEHICLE THEFT,NARCOTICS,NON-CRIMINAL,OBSCENITY,OFFENSE INVOLVING CHILDREN,OTHER NARCOTIC VIOLATION,OTHER OFFENSE,PROSTITUTION,PUBLIC INDECENCY,PUBLIC PEACE VIOLATION,RITUALISM,ROBBERY,SEX OFFENSE,STALKING,THEFT,WEAPONS VIOLATION
33,12,2194155.41,1,5.0,150.0,352.0,93.0,,,289.0,9.0,35.0,211.0,1.0,6.0,,2.0,5.0,,2.0,110.0,43.0,,1.0,22.0,,119.0,,,6.0,,76.0,12.0,2.0,467.0,34.0
34,45,749608.59,3,19.0,618.0,1323.0,430.0,3.0,6.0,891.0,27.0,113.0,436.0,,25.0,,16.0,3.0,9.0,,307.0,160.0,,,95.0,,428.0,4.0,,19.0,,199.0,24.0,5.0,819.0,354.0
35,18,3763316.23,5,10.0,212.0,469.0,103.0,1.0,,340.0,22.0,49.0,195.0,,5.0,,5.0,1.0,2.0,3.0,96.0,50.0,,,19.0,,140.0,,,20.0,,86.0,12.0,5.0,575.0,70.0
36,10,1125212.12,4,6.0,222.0,486.0,71.0,2.0,2.0,325.0,15.0,45.0,248.0,,5.0,,2.0,3.0,3.0,2.0,141.0,83.0,,,31.0,,186.0,,,15.0,,57.0,18.0,,465.0,87.0
37,34,3027245.92,3,25.0,595.0,1523.0,232.0,2.0,3.0,684.0,35.0,94.0,393.0,1.0,38.0,,23.0,4.0,3.0,3.0,304.0,464.0,,1.0,66.0,,355.0,4.0,,37.0,,343.0,28.0,3.0,821.0,323.0
38,3,2844321.8,4,5.0,134.0,293.0,95.0,,,223.0,8.0,36.0,300.0,,2.0,,3.0,,5.0,7.0,73.0,18.0,,3.0,25.0,,164.0,1.0,1.0,7.0,,31.0,17.0,2.0,340.0,22.0
39,4,5141577.67,6,4.0,169.0,270.0,109.0,1.0,,270.0,12.0,61.0,300.0,,4.0,1.0,1.0,1.0,1.0,2.0,83.0,21.0,,,17.0,,129.0,,,9.0,,59.0,11.0,,515.0,32.0
40,10,2954553.44,2,1.0,168.0,447.0,104.0,,1.0,323.0,19.0,61.0,325.0,,3.0,,2.0,1.0,1.0,5.0,127.0,36.0,,,11.0,,128.0,,,8.0,,52.0,16.0,5.0,738.0,14.0
41,2,,1,4.0,124.0,268.0,54.0,17.0,,164.0,4.0,124.0,482.0,,,,1.0,1.0,,3.0,118.0,155.0,,,16.0,,149.0,,,12.0,,19.0,11.0,6.0,540.0,7.0
42,53,,13,14.0,365.0,967.0,499.0,3.0,4.0,498.0,66.0,260.0,1060.0,,9.0,,23.0,8.0,1.0,9.0,323.0,126.0,,,13.0,,230.0,1.0,1.0,90.0,,240.0,29.0,2.0,2968.0,178.0
43,3,,3,10.0,83.0,193.0,116.0,,2.0,199.0,6.0,48.0,355.0,,1.0,,,1.0,,2.0,84.0,3.0,,1.0,3.0,,79.0,,,5.0,,90.0,10.0,3.0,826.0,6.0
44,12,,1,5.0,156.0,316.0,128.0,2.0,1.0,182.0,22.0,79.0,384.0,,,,4.0,6.0,1.0,6.0,173.0,12.0,,1.0,3.0,,112.0,,,22.0,,96.0,8.0,6.0,1077.0,4.0
45,12,5447793.1,2,1.0,193.0,389.0,120.0,1.0,,275.0,7.0,56.0,390.0,,2.0,,4.0,4.0,,4.0,95.0,26.0,,,21.0,,160.0,,,7.0,,62.0,12.0,3.0,550.0,17.0
46,46,2287148.69,3,3.0,214.0,458.0,88.0,2.0,1.0,238.0,19.0,65.0,365.0,,3.0,,8.0,4.0,,3.0,106.0,35.0,,1.0,15.0,1.0,134.0,,,16.0,,98.0,12.0,,818.0,20.0
47,36,6578386.7,11,6.0,116.0,192.0,178.0,1.0,,223.0,15.0,56.0,414.0,,2.0,,3.0,4.0,,3.0,106.0,14.0,,,12.0,,92.0,,,9.0,,68.0,12.0,2.0,812.0,6.0
48,13,4485612.07,3,4.0,186.0,452.0,99.0,,1.0,217.0,22.0,45.0,318.0,,3.0,,3.0,1.0,2.0,,57.0,17.0,,1.0,8.0,,128.0,1.0,,10.0,,68.0,16.0,3.0,697.0,11.0
49,39,429461.19,1,1.0,273.0,627.0,120.0,,5.0,445.0,32.0,65.0,307.0,,6.0,,9.0,2.0,2.0,4.0,104.0,57.0,,,19.0,1.0,181.0,1.0,1.0,10.0,,117.0,23.0,6.0,843.0,35.0
50,9,2611700.53,1,4.0,174.0,430.0,139.0,,3.0,292.0,5.0,46.0,269.0,,4.0,,1.0,2.0,1.0,2.0,97.0,32.0,,2.0,18.0,,120.0,,,8.0,,76.0,14.0,1.0,600.0,22.0
